SD_NM,SD_CD,SGG_NM,SGG_CD,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
부산광역시,21,북구,21080,5,6,5,5,6,3,3,1,3,5,5,5,7,5,7,5,7,5,3,4,3,3,4,6,6,4,3,2,3,2,2,1,1,1,2,2,5,6,2,1,5,4,2,2,1,3,2,3,5,5,4,3,5,3,2,2,2,2,3,4
부산광역시,21,사하구,21100,6,7,6,6,7,4,4,2,4,6,6,7,8,6,8,6,8,7,5,5,3,4,5,7,7,4,3,2,3,2,3,1,1,2,2,2,5,6,3,2,6,5,2,3,2,3,3,3,6,5,5,4,6,4,3,2,2,3,4,4
부산광역시,21,연제구,21130,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
부산광역시,21,수영구,21140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,21,사상구,21150,6,6,5,5,6,3,4,1,4,6,6,6,8,6,8,5,7,6,4,4,3,3,5,6,7,4,3,2,3,2,2,1,1,1,2,2,5,6,2,1,5,4,2,2,2,3,2,3,6,5,4,3,5,3,3,2,2,2,3,4
부산광역시,21,해운대구,21090,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,2,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
부산광역시,21,기장군,21310,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
부산광역시,21,금정구,21110,2,2,2,2,3,1,1,1,1,2,2,2,3,2,3,2,3,2,2,2,1,1,2,3,3,2,1,1,1,1,1,0,1,1,1,1,2,3,1,0,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1
부산광역시,21,강서구,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,22,중구,22010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,22,서구,22030,3,3,2,3,2,1,2,1,2,3,3,3,4,3,4,2,3,2,1,2,1,2,2,3,3,2,2,2,2,1,1,1,1,1,2,1,3,3,1,0,2,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,2,2
대구광역시,22,수성구,22060,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
대구광역시,22,달서구,22070,12,12,10,11,11,6,7,3,7,12,12,14,18,12,14,9,12,10,5,8,6,7,9,11,12,9,7,10,11,5,4,2,5,6,8,6,12,13,6,2,9,8,4,5,4,7,7,7,13,11,9,8,10,7,5,4,5,7,9,9
대구광역시,22,남구,22040,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,22,북구,22050,7,6,5,6,5,3,3,2,3,7,7,7,9,6,8,5,6,5,3,4,3,3,5,6,7,5,4,5,6,3,2,1,2,3,5,4,6,7,3,1,4,4,2,2,2,3,3,3,7,6,5,4,5,3,2,2,2,3,5,5
대구광역시,22,달성군,22310,3,3,3,3,3,2,2,1,2,3,3,4,5,3,4,3,3,3,1,2,2,2,2,3,3,2,2,3,3,2,1,1,1,2,2,2,3,4,1,1,3,2,1,1,1,2,2,2,3,3,2,2,3,2,1,1,1,2,2,2
대구광역시,22,동구,22020,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,0,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
인천광역시,23,중구,23010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
