SD_NM,SGG_NM,SGG_CD,NO2__RR,NO2__ad,PM2_5__RR,PM2_5__ad,PM10__RR,PM10__ad
충청북도,증평군,33390,1.01,6,1.012,18,1.007,12
충청남도,천안시 동남구,34011,1.012,52,1.012,102,1.007,70
충청남도,천안시 서북구,34012,1.008,28,1.011,79,1.005,46
충청남도,공주시,34020,1.015,33,1.011,71,1.006,45
충청남도,보령시,34030,1.012,21,1.01,47,1.005,27
충청남도,아산시,34040,1.015,70,1.011,105,1.006,68
충청남도,서산시,34050,1.002,6,1.008,42,1.003,17
충청남도,논산시,34060,1.014,44,1.011,85,1.007,55
충청남도,계룡시,34070,1.012,6,1.012,10,1.007,7
충청남도,당진시,34080,1.005,14,1.01,59,1.004,30
충청남도,금산군,34310,1.019,31,1.013,47,1.009,34
충청남도,부여군,34330,1.015,26,1.01,55,1.005,32
충청남도,서천군,34340,1.014,20,1.01,41,1.005,24
충청남도,청양군,34350,1.012,8,1.01,24,1.005,13
충청남도,홍성군,34360,1.013,23,1.01,48,1.005,27
충청남도,예산군,34370,1.013,28,1.01,56,1.005,33
충청남도,태안군,34380,0.999,0,1.006,16,1,0
전라북도,전주시 완산구,35011,1.019,104,1.012,146,1.007,99
전라북도,전주시 덕진구,35012,1.016,72,1.011,106,1.006,66
전라북도,군산시,35020,1.018,73,1.011,119,1.007,86
전라북도,익산시,35030,1.013,71,1.01,144,1.005,81
전라북도,정읍시,35040,1.025,55,1.015,112,1.01,92
전라북도,남원시,35050,1.022,29,1.016,73,1.011,57
전라북도,김제시,35060,1.019,52,1.012,84,1.007,61
전라북도,완주군,35310,1.023,49,1.013,68,1.008,48
전라북도,진안군,35320,1.019,13,1.013,26,1.009,19
전라북도,무주군,35330,1.017,8,1.013,19,1.009,13
전라북도,장수군,35340,1.02,8,1.014,20,1.009,15
전라북도,임실군,35350,1.022,14,1.014,33,1.009,25
전라북도,순창군,35360,1.025,15,1.016,36,1.011,29
전라북도,고창군,35370,1.022,23,1.015,62,1.01,51
전라북도,부안군,35380,1.022,25,1.014,53,1.009,43
전라남도,목포시,36010,1.037,124,1.02,130,1.015,144
전라남도,여수시,36020,1.028,176,1.018,164,1.014,167
전라남도,순천시,36030,1.03,88,1.018,145,1.014,127
전라남도,나주시,36040,1.03,78,1.019,101,1.015,94
전라남도,광양시,36060,1.031,50,1.018,72,1.014,65
전라남도,담양군,36310,1.025,25,1.016,45,1.012,37
전라남도,곡성군,36320,1.026,15,1.017,37,1.012,30
전라남도,구례군,36330,1.028,14,1.017,30,1.013,25
전라남도,고흥군,36350,1.026,39,1.019,77,1.015,79
전라남도,보성군,36360,1.029,28,1.018,48,1.014,43
전라남도,화순군,36370,1.027,36,1.018,53,1.014,47
전라남도,장흥군,36380,1.037,27,1.019,42,1.015,40
전라남도,강진군,36390,1.038,26,1.019,44,1.015,41
전라남도,해남군,36400,1.042,57,1.02,73,1.015,73
전라남도,영암군,36410,1.032,32,1.019,50,1.014,47
전라남도,무안군,36420,1.039,52,1.02,67,1.015,68
전라남도,함평군,36430,1.031,30,1.018,47,1.014,44
전라남도,영광군,36440,1.025,20,1.016,48,1.012,43
