SD_NM,SD_CD,SGG_NM,SGG_CD,beta,beta_L,beta_U,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
전라남도,,무안군,,0.00481,0.00307,0.00656,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
전라남도,,함평군,,0.00141,-0.00062,0.00344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,,영광군,,0.00046,-0.00145,0.00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,,장성군,,0.00057,-0.00103,0.00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,,완도군,,-0.00014,-0.00302,0.00279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,,진도군,,-0.00268,-0.00653,0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,,신안군,,-0.00402,-0.00731,-0.00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,,포항시 남구,,0.00586,0.00489,0.00681,6,5,5,6,6,3,4,1,3,3,5,5,7,5,7,5,6,5,4,5,2,3,5,6,5,2,3,4,5,2,3,1,1,2,3,2,4,5,3,1,4,3,2,2,1,2,2,3,5,4,4,4,5,3,3,2,1,2,3,4
경상북도,,포항시 북구,,0.00431,0.00322,0.0054,4,4,3,4,4,2,3,1,2,2,4,4,5,4,6,4,5,4,3,3,2,2,4,5,3,1,2,2,3,1,1,0,1,1,1,1,3,5,2,0,3,2,1,1,1,2,2,2,3,3,3,2,3,2,2,1,1,1,2,3
경상북도,,경주시,,0.00286,0.00205,0.0037,5,5,4,5,5,3,4,2,3,3,4,4,6,4,6,4,5,5,3,4,2,3,4,5,4,3,2,3,4,2,2,1,1,2,3,2,4,5,2,1,4,3,2,2,1,2,2,2,4,4,3,3,4,3,2,2,1,2,3,3
